condition,gr_ratio,hue_mean,sat_mean,lbp_std
ripe,1.03084234073677,85.475,65.9525,0.059507344078624236
ripe,0.9661116089739875,14.1957,31.565,0.1357477071493825
ripe,0.9886506840098918,5.3916,18.496,0.23247977544119972
ripe,0.9273789526301671,75.7488,63.3805,0.058160588024223664
ripe,0.9926049966076544,2.7817,12.9481,0.25418998404161697
ripe,0.9684540262419105,7.7944,34.4706,0.1792574572885975
ripe,0.9650872700153326,25.2987,32.6335,0.10026530804814482
ripe,0.955416478296313,21.8116,44.5824,0.034565213723642
ripe,0.838153783930473,64.5945,90.5636,0.03522209533448969
ripe,0.8599150619939321,46.0086,131.8956,0.03126589195600357
ripe,0.9907575057423398,2.7999,14.0007,0.2528119419394923
ripe,0.974141094521863,31.8365,34.2017,0.03145034180739814
ripe,0.9924571920729106,2.7558,12.7088,0.2546209417684131
ripe,1.0369033353625745,85.0829,82.2898,0.04497323648121715
ripe,1.0246644923358672,86.317,69.5257,0.04259976525330922
ripe,0.9552344473590205,21.3217,39.3355,0.03402334492327999
ripe,0.9093797750366212,75.4799,65.1182,0.03218828979291666
ripe,1.0071298128405002,88.0954,36.49,0.0561684074847153
ripe,0.9805949237578704,7.0806,22.2958,0.2193458729732052
ripe,0.9766890883462013,50.2868,33.4449,0.03315026394736868
ripe,1.053885551803788,86.8248,45.2371,0.04238164696706299
ripe,0.9967499016646378,64.7029,114.6156,0.0409580517073809
ripe,1.0056366191807595,88.8209,34.6604,0.06214349522860487
ripe,0.9608289134856586,25.7487,44.4594,0.0342898235598383
ripe,0.9604486123942518,25.1814,44.8157,0.034958346639330395
ripe,1.0208561223086714,83.6766,73.7329,0.06239857369540816
ripe,0.9654239162757711,28.1301,41.0912,0.03397940552406825
ripe,0.9846536075400665,8.1111,19.4359,0.21847851608442745
ripe,0.9849284480622418,11.6094,29.5529,0.17828310069561565
ripe,0.9549760902749082,24.086,45.7998,0.032323861152266965
ripe,1.0280281211720828,82.8304,69.2634,0.06041973187022507
ripe,1.0084213234812742,76.4295,83.2264,0.0450829014105515
ripe,0.8576839278314495,22.9086,155.7087,0.14169092418353665
ripe,0.9594934206348663,24.162,39.2468,0.03371628686217749
ripe,0.9550351861081062,11.9487,47.2754,0.13799767387963946
ripe,0.9829305205578567,7.307,22.9073,0.2156698958841899
ripe,0.9450194849095143,12.9307,52.4813,0.16227569132415773
ripe,0.9762620407762955,62.4589,96.0284,0.03472719395169734
ripe,0.8572944470519922,23.3265,163.3356,0.1152903898741852
ripe,0.9626877657664801,23.5086,36.7774,0.03331930371088154
ripe,0.9658655077226936,26.6379,40.471,0.034146917866284765
ripe,0.9624102585768574,41.3255,29.4494,0.07989450543512597
ripe,1.0155793249715335,69.9821,104.9737,0.0500245939463731
ripe,1.0095869975213694,88.5684,30.8459,0.06102242210249649
ripe,1.0224871136440843,79.3885,87.9679,0.04337549999278064
ripe,1.0208531678185395,86.379,62.2553,0.04314023643453735
ripe,0.9776602258501348,12.8441,24.5471,0.156041077909409
ripe,1.0044231249878592,71.4329,98.4993,0.04183962236504876
ripe,1.0396764220251022,85.7568,71.9733,0.051615365923987896
ripe,0.9819176412893122,5.6416,20.3781,0.22820532419201894
ripe,0.9587552918240249,6.8372,46.1803,0.19678375947281637
ripe,1.030603742517185,83.8715,73.21,0.041029135984850106
ripe,0.9746587041022435,10.9823,34.4823,0.19072489085781333
ripe,0.9867401033060106,6.9821,19.8292,0.22067713517775311
ripe,0.9637573923710487,39.7611,46.5439,0.035485687252019706
ripe,0.8849801951772214,70.1477,54.2059,0.04233483199023651
ripe,1.0759680685483217,74.0064,85.332,0.03729758704959046
ripe,0.9859693697134397,7.1246,25.6325,0.218338132240948
ripe,0.96271706065043,25.408,42.8883,0.03443495316916878
ripe,0.9541578495639563,11.5099,47.5848,0.1635749552793723
ripe,1.0970009669107699,71.4826,88.7431,0.03446165985210925
ripe,0.9747325139365305,16.6509,26.3636,0.15862342196210405
ripe,0.9937445319481765,4.9054,14.1632,0.2385515583445613
ripe,1.0293608106267857,84.2376,73.3938,0.04015534833216504
ripe,0.9943538265363758,76.1794,97.2463,0.046481157468031074
ripe,0.9801464324333221,4.5146,21.5171,0.23328169664402723
ripe,0.7529221728569262,124.7874,92.0159,0.06189560565366322
rotten,0.9635965664784294,20.6162,34.6498,0.03075057722727949
rotten,0.9530545494276417,20.5254,39.256,0.030433599849750918
rotten,0.9611459678544008,24.7847,35.2881,0.030186851439289765
